key,kr,en,cn
STOCK_COMP_LUXORA_DESC,글로벌 명품 브랜드 및 프리미엄 유통 그룹,Global luxury brands and premium retail group,全球奢侈品牌与高端流通集团
STOCK_COMP_AEGIS,이지스 다이내믹스,Aegis Dynamics,神盾动力
STOCK_COMP_AEGIS_DESC,무인 방어 체계 및 정밀 유도 무기 개발사,Unmanned defense systems and precision weapons developer,无人防御体系与精确制导武器开发商
STOCK_COMP_GOLDBRIDGE,골드브릿지 금융지주,GoldBridge Holdings,金桥金融控股
STOCK_COMP_GOLDBRIDGE_DESC,초대형 종합 금융 지주 그룹,Mega-scale comprehensive financial holding group,超大型综合金融控股集团
STOCK_COMP_HELIOS,헬리오스 퓨전,Helios Fusion,赫利俄斯聚变
STOCK_COMP_HELIOS_DESC,소형 핵융합로 상용화 연구 개발 기업,Compact fusion reactor commercialization R&D company,小型核聚变堆商用化研发企业
STOCK_COMP_GENOBIO,제노바이오,GenoBio,基诺生物
STOCK_COMP_GENOBIO_DESC,유전자 편집 치료제 개발 전문 바이오 기업,Gene-editing therapeutics bio company,基因编辑治疗剂开发专业生物企业
STOCK_COMP_QUANTUMCORE,퀀텀코어,QuantumCore,量子核
STOCK_COMP_QUANTUMCORE_DESC,양자 컴퓨팅 칩 설계 및 극저온 하드웨어 기업,Quantum computing chip design and cryogenic hardware company,量子计算芯片设计与超低温硬件企业
STOCK_COMP_COREDRILL,코어드릴 헤비,CoreDrill Heavy,核钻重工
STOCK_COMP_COREDRILL_DESC,행성 심부 굴착 장비 및 희귀 자원 채굴 대기업,Planetary deep-drilling equipment and rare resource mining giant,行星深部钻探设备与稀有资源开采巨头
STOCK_COMP_GAIA,가이아 에너지,Gaia Energy,盖亚能源
STOCK_COMP_GAIA_DESC,궤도 태양광 발전 및 글로벌 전력망 운영 대기업,Orbital solar power and global grid operations giant,轨道太阳能发电与全球电网运营巨头
STOCK_COMP_ORBITALX,오비탈X,OrbitalX,轨道X
STOCK_COMP_ORBITALX_DESC,궤도 정거장 건설 및 심우주 수송 인프라 기업,Orbital station construction and deep-space transport infrastructure company,轨道空间站建设与深空运输基础设施企业
STOCK_COMP_HYPERNET,하이퍼넷,HyperNet,超网科技
STOCK_COMP_HYPERNET_DESC,초거대 AI 플랫폼 및 글로벌 클라우드 기업,Hyperscale AI platform and global cloud company,超大规模AI平台与全球云企业
STOCK_COMP_ETERNA,이터나 바이오,Eterna Bio,永恒生物
STOCK_COMP_ETERNA_DESC,수명 연장 및 세포 재생 치료 선도 기업,Life extension and cell regeneration therapy leader,延寿与细胞再生治疗领先企业
STOCK_COMP_ATLAS,아틀라스 캐피탈,Atlas Capital,阿特拉斯资本
STOCK_COMP_ATLAS_DESC,세계 최대 자산 운용 및 투자 은행 그룹,World's largest asset management and investment banking group,全球最大资产管理与投资银行集团
CHAIN_PANDEMIC,감염병 사태,Pandemic Crisis,传染病事件
CHAIN_CHIP_SHORTAGE,반도체 공급난,Chip Shortage,芯片供应危机
CHAIN_AI_REGULATION,AI 규제 법안,AI Regulation Bill,AI监管法案
CHAIN_SPACE_DEFENSE,우주 방산 협력,Space Defense Cooperation,航天防务合作
CHAIN_RENEWABLE_BREAKTHROUGH,재생 에너지 혁신,Renewable Energy Breakthrough,可再生能源突破
CHAIN_RESOURCE_RUSH,희귀 광맥 러시,Rare Vein Rush,稀有矿脉热潮
CHAIN_OIL_SHOCK,국제 유가 파동,Oil Price Shock,国际油价波动
CHAIN_GAME_BOOM,차세대 게임 대전,Next-Gen Gaming Boom,次世代游戏大战
CHAIN_BANK_STRESS,소비재 신뢰 위기,Consumer Trust Crisis,消费品信任危机
CHAIN_LOGISTICS_STRIKE,물류 총파업,Logistics General Strike,物流总罢工
NEWS_PANDEMIC_001_TITLE,{region}에 원인불명 {disease} 확산 우려,Concerns over unknown {disease} spread in {region},{region}对不明{disease}扩散的担忧
NEWS_PANDEMIC_001_SUMMARY,최근 {region} 지역에서 원인을 알 수 없는 {disease} 환자가 급증하고 있습니다.,There is a sudden increase in unknown {disease} patients in {region}.,最近{region}地区不明{disease}患者激增。
NEWS_PANDEMIC_002A_TITLE,"보건당국, {region} {disease} 확산 공식 확인",Health authorities officially confirm {disease} spread in {region},卫生当局正式确认{region} {disease}扩散
NEWS_PANDEMIC_002A_SUMMARY,보건당국이 감염병 확산을 공식 발표하며 제약업계가 주목받고 있습니다.,"Health authorities officially announced the spread, putting the pharma sector in the spotlight.",卫生当局正式宣布传染病扩散，制药行业备受瞩目。
NEWS_PANDEMIC_002B_TITLE,{region} {disease} 확산 소식은 오보로 밝혀져,{disease} spread news in {region} turns out to be false,{region} {disease}扩散消息被证实为误报
NEWS_PANDEMIC_002B_SUMMARY,보건당국의 조사 결과 단순 계절성 질환으로 확인되었습니다.,Investigation showed it was merely a seasonal illness.,调查结果显示这仅仅是季节性疾病。
NEWS_PANDEMIC_003A_TITLE,"주요 제약사, 백신 개발 본격 착수",Major pharma companies begin vaccine development,主要制药公司开始疫苗开发
NEWS_PANDEMIC_003A_SUMMARY,백신 개발 소식에 시장의 불안감이 점차 안정되고 있습니다.,Market anxiety is settling down with news of vaccine development.,随着疫苗开发的消息，市场焦虑逐渐平息。
NEWS_PANDEMIC_003B_TITLE,"{region} 확산세 감소, 일상 복귀 조짐","{region} spread decreases, signs of return to normal",{region}扩散减少，恢复日常的迹象
NEWS_PANDEMIC_003B_SUMMARY,확산세가 눈에 띄게 꺾이며 시장이 정상화되고 있습니다.,The spread has noticeably decreased and the market is normalizing.,扩散明显减少，市场正在恢复正常。
NEWS_CHIP_001_TITLE,주요 파운드리 가동 중단 루머,Rumors of major foundry shutdown,主要代工厂停工传闻
NEWS_CHIP_001_SUMMARY,반도체 생산 차질 우려로 관련 업계에 긴장감이 돌고 있습니다.,Concerns over semiconductor production disruptions are raising tensions.,对半导体生产中断的担忧令相关行业气氛紧张。
NEWS_CHIP_002A_TITLE,"대형 팹 화재 발생, 반도체 공급 직격탄",Fire at mega fab hits semiconductor supply,大型晶圆厂火灾直击半导体供应
NEWS_CHIP_002A_SUMMARY,화재로 인한 생산 중단이 공식 확인되어 기술주가 타격을 입고 있습니다.,"Production halt due to fire is confirmed, hitting tech stocks.",火灾导致的停工得到官方确认，科技股受到打击。
NEWS_CHIP_002B_TITLE,"정부, 반도체 산업 특별 보조금 지원 발표",Gov announces special subsidies for semiconductor industry,政府宣布为半导体行业提供特别补贴
NEWS_CHIP_002B_SUMMARY,정부의 지원책으로 반도체 업계가 큰 호재를 맞았습니다.,The government's support brings a big boost to the semiconductor industry.,政府的支持措施给半导体行业带来了巨大利好。
NEWS_CHIP_003_TITLE,반도체 수급 점진적 안정화,Gradual stabilization of semiconductor supply,半导体供需逐步稳定
NEWS_CHIP_003_SUMMARY,공급망이 서서히 회복되며 기술주가 정상 궤도에 오르고 있습니다.,"Supply chains are slowly recovering, bringing tech stocks back to normal.",供应链缓慢恢复，科技股重回正轨。
NEWS_AI_001_TITLE,"정부, 인공지능 윤리 규제 법안 추진 루머",Rumors of gov pushing AI ethics regulation bill,政府推动人工智能伦理监管法案传闻
NEWS_AI_001_SUMMARY,기술 오용 방지를 위한 인공지능 강력 규제 소식에 관련 업계가 긴장하고 있습니다.,Tensions rise as rumors spread of strict AI regulations to prevent technology misuse.,防止技术滥用的人工智能严厉监管传闻引发相关行业紧张。
NEWS_AI_002A_TITLE,초강력 AI 규제 안건 통과 공식 확인,Official confirmation of passing strict AI regulation bill,超强AI监管议案通过得到官方确认
NEWS_AI_002A_SUMMARY,정부가 고성능 AI 개발 통제 조치를 공식화하며 기술 기업들이 즉각 충격을 받았습니다.,"The gov formalized controls on high-performance AI, hitting tech firms immediately.",政府将高能AI开发控制措施正式化，科技企业立即受到冲击。
NEWS_AI_002B_TITLE,인공지능 규제 가이드라인 대폭 완화 공식 발표,Official announcement of relaxed AI regulation guidelines,人工智能监管指南大幅放宽官方宣布
NEWS_AI_002B_SUMMARY,업계의 반발을 수용해 완화된 가이드라인이 발표되자 AI 업계에 강력한 호재가 돌고 있습니다.,"A relaxed guideline has been announced, bringing a strong boost to the AI industry.",采纳行业反对意见的宽限指南发布，给AI行业带来了强力利好。
NEWS_AI_003_TITLE,인공지능 시장 안정화 및 규제 적응,AI market stabilization and adaptation to regulations,人工智能市场稳定及监管适应
NEWS_AI_003_SUMMARY,새로운 규제 가이드라인에 시장이 빠르게 적응하며 기술주들이 정상 궤도에 오르고 있습니다.,"The market is quickly adapting to the new guidelines, bringing tech stocks back to normal.",市场迅速适应新监管指南，科技股重回正轨。
NEWS_DEF_001_TITLE,{region} 연합 궤도 방어망 공동 계약 체결설,{region} coalition orbital defense contract rumors,{region}联合轨道防御网共同签约传闻
NEWS_DEF_001_SUMMARY,대규모 위성 국방 계약 체결 루머로 인해 방산 업계가 뜨겁게 달아오르고 있습니다.,Aerospace defense stocks are surging on rumors of a massive satellite defense contract.,由于大规模卫星国防签约传闻，防务行业正在急剧升温。
NEWS_DEF_002A_TITLE,"연합 기구, {region} 궤도 방어망 공식 계약 발표",Coalition officially announces {region} orbital defense contract,联合机构正式宣布{region}轨道防御网签约
NEWS_DEF_002A_SUMMARY,천문학적 규모의 우주 안보 사업 공동 계약이 확정되어 관련 방산주가 폭발적인 상승세를 탑니다.,"The joint contract for a multi-billion space security project has been finalized, sparking huge rises.",天文级规模的太空安全项目共同签约确立，相关防务股迎来爆发式上涨。
NEWS_DEF_002B_TITLE,우주 방어망 공동 개발 프로젝트 무산 공식 선언,Official cancellation of joint space defense project,太空防御网共同开发项目宣告流产官方声明
NEWS_DEF_002B_SUMMARY,예산 마찰 및 협상 결렬로 우주 국방 사업이 전면 무산되어 주주 신뢰가 흔들리고 있습니다.,"Negotiations fell through due to budget conflicts, shaking investor confidence.",由于预算摩擦和谈判破裂，太空国防项目全盘取消，股东信心动摇。
NEWS_DEF_003A_TITLE,"차세대 미사일 요격 테스트 성공, 방산 시장 서서히 안정",Next-gen missile interception test succeeds; defense market settles,下一代导弹拦截测试成功，防务市场逐步稳定
NEWS_DEF_003A_SUMMARY,전술 시험 성공 소식으로 시장의 단기 급변성이 안정적인 성장세로 복귀하고 있습니다.,Success in tactical tests has guided market volatility back to stable growth.,战术测试成功消息使市场短期波动性回归稳定增长。
NEWS_DEF_003B_TITLE,우주 방산 충격 서서히 회복 추세,Space defense stock shock is slowly recovering,太空防务股冲击逐步呈现恢复趋势
NEWS_DEF_003B_SUMMARY,악재 소진 이후 신소재 분야 핵심 매출을 기반으로 주가가 진정세를 찾고 있습니다.,"Following the bad news, stock prices are settling based on core new material sales.",恶质消退后，股价依托新材料领域核心营收逐步企稳。
NEWS_REN_001_TITLE,초전도 하이브리드 솔라 셀 특허 획득 임박설,Rumors of superconducting hybrid solar cell patent acquisition imminent,超导混合太阳能电池专利获得临近传闻
NEWS_REN_001_SUMMARY,신기술을 활용한 고효율 태양광 솔라 셀 상용화 기대감에 친환경 기술주들이 요동치고 있습니다.,Eco-friendly tech stocks are fluctuating on hopes of commercializing high-efficiency solar cells.,利用新技术的超高效率太阳能电池商用化期待感促使环保科技股波动。
NEWS_REN_002A_TITLE,"에너지 특허청, 차세대 친환경 발전 하이브리드 특허 공식 승인",Energy Patent Office officially approves next-gen hybrid energy patent,能源专利局正式批准下一代环保发电混合专利
NEWS_REN_002A_SUMMARY,특허 취득이 공식 확인되며 신재생 에너지 기업들이 독점적 지위를 확보해 급상승세에 들어섰습니다.,"With the patent confirmed, renewable energy firms secured dominant status and surged.",专利获取得到官方确认，新再生能源企业确保垄断地位，进入急剧上升期。
NEWS_REN_002B_TITLE,실험 과부하 폭발 사고 공식 발표로 인한 논란,Controversy over official announcement of experimental overload explosion,实验超载爆炸事故官方公布引发争议
NEWS_REN_002B_SUMMARY,학계 재현 실험에서 연쇄 합선 화재 사고가 터지며 핵심 데이터 신뢰성에 타격을 받았습니다.,"A series of short-circuit fires occurred during academic replications, hitting credibility.",学术界再现实验中爆发连环短路火灾事故，核心数据可靠性遭遇打击。
NEWS_REN_003A_TITLE,"신재생 발전 시설 보급 확대 가속화, 친환경주 전반 안정화",Accelerating expansion of renewable energy plants; green stocks stabilize,新再生发电设施普及扩大加速，环保股整体稳定
NEWS_REN_003A_SUMMARY,정부의 양산 가이드라인 도입으로 시장의 등락폭이 서서히 안정권에 접어들고 있습니다.,The introduction of government production guidelines has stabilized market fluctuations.,随着政府量产指南的引入，市场波动幅度逐渐进入稳定区间。
NEWS_REN_003B_TITLE,안전성 정밀 정산 완료 및 하락 진정세,Safety checks completed; downward trend settles down,安全性精密盘点完毕，下跌趋势企稳
NEWS_REN_003B_SUMMARY,국가 기관의 안전 재인증 및 신소재 보안 강화 대책 마련으로 낙폭이 멈추기 시작했습니다.,Recertification by national authorities and new material security measures have stopped the drop.,国家机构安全再认证和新材料安保强化对策出台使跌幅开始停步。
NEWS_RUSH_001_TITLE,{region} 지하 심층부 대규모 희귀 광맥 발견설,Rumors of massive rare vein found deep beneath {region},{region}地下深层发现大规模稀有矿脉传闻
NEWS_RUSH_001_SUMMARY,희귀 금속 광맥 발견 소문이 퍼지며 자원·채굴주가 들썩이고 있습니다.,Resource and mining stocks stir on rumors of a rare metal vein discovery.,稀有金属矿脉发现传闻扩散，资源与采矿股蠢蠢欲动。
NEWS_RUSH_002A_TITLE,지질조사국 매장량 공식 확인 — 채굴권 경쟁 돌입,Geological survey confirms reserves; mining rights race begins,地质调查局正式确认储量，开采权竞争开启
NEWS_RUSH_002A_SUMMARY,천문학적 매장량이 공식 확인되며 채굴 장비·소재 기업들이 폭등세를 타고 있습니다.,Mining equipment and materials firms surge as astronomical reserves are confirmed.,天文级储量得到官方确认，采矿设备与材料企业暴涨。
NEWS_RUSH_002B_TITLE,시추 결과 발표 — 매장량 부풀리기로 판명,Drilling results reveal inflated reserve claims,钻探结果公布，储量夸大被证实
NEWS_RUSH_002B_SUMMARY,실제 시추 결과가 기대에 크게 못 미치며 자원주 투자 심리가 급랭했습니다.,Resource stock sentiment freezes as drilling results fall far short of expectations.,实际钻探结果远低于预期，资源股投资情绪骤冷。
NEWS_RUSH_003A_TITLE,채굴 설비 증설 본격화 — 자원주 안정세,Mining capacity expansion begins; resource stocks stabilize,采矿设备扩建全面启动，资源股企稳
NEWS_RUSH_003A_SUMMARY,신규 광산 개발이 본궤도에 오르며 시장이 안정적인 성장세로 접어들고 있습니다.,The market settles into stable growth as new mine development gets on track.,新矿山开发步入正轨，市场进入稳定增长。
NEWS_RUSH_003B_TITLE,광맥 소동 일단락 — 시장 진정 국면,Vein frenzy winds down; market calms,矿脉风波告一段落，市场趋于平静
NEWS_RUSH_003B_SUMMARY,과열됐던 투기 수요가 빠져나가며 자원주가 제자리를 찾아가고 있습니다.,Resource stocks return to normal as speculative demand drains away.,过热的投机需求退场，资源股回归正常。
NEWS_OIL_001_TITLE,주요 산유국 대규모 감산 합의 임박설,Rumors of major oil producers nearing output cut deal,主要产油国大规模减产协议临近传闻
NEWS_OIL_001_SUMMARY,산유국들의 감산 논의 소문에 에너지 시장이 술렁이고 있습니다.,Energy markets stir on rumors of production cut talks.,产油国减产磋商传闻令能源市场躁动。
NEWS_OIL_002A_TITLE,산유국 연합 감산 공식 발표 — 유가 급등,Oil coalition officially announces cuts; prices soar,产油国联盟正式宣布减产，油价飙升
NEWS_OIL_002A_SUMMARY,감산 합의가 공식화되며 정유·에너지 기업의 마진 개선 기대가 커지고 있습니다.,Refining and energy firms expect better margins as the cut deal is formalized.,减产协议正式化，炼油与能源企业利润率改善预期升温。
NEWS_OIL_002B_TITLE,감산 협상 결렬 — 증산 경쟁 선언,Output talks collapse; production war declared,减产谈判破裂，宣布增产竞争
NEWS_OIL_002B_SUMMARY,협상 결렬로 공급 과잉 우려가 커지며 에너지주가 급락하고 있습니다.,Energy stocks plunge on oversupply fears after talks collapse.,谈判破裂令供应过剩担忧加剧，能源股急跌。
NEWS_OIL_003A_TITLE,고유가 국면 적응 — 에너지 시장 안정,Markets adapt to high oil prices; energy stabilizes,市场适应高油价，能源板块稳定
NEWS_OIL_003A_SUMMARY,고유가에 시장이 적응하며 에너지주의 변동성이 잦아들고 있습니다.,Energy stock volatility eases as markets adapt to higher prices.,市场逐渐适应高油价，能源股波动趋缓。
NEWS_OIL_003B_TITLE,유가 급락세 진정 — 수급 재조정,Oil price slide settles; supply rebalances,油价急跌企稳，供需再平衡
NEWS_OIL_003B_SUMMARY,공급 재조정이 이뤄지며 유가와 에너지주가 바닥을 다지고 있습니다.,Oil prices and energy stocks find a floor as supply rebalances.,供应再调整，油价与能源股筑底。
NEWS_GAME_001_TITLE,차세대 풀다이브 VR 기기 연내 출시설,Rumors of next-gen full-dive VR device launching this year,次世代全潜入VR设备年内上市传闻
NEWS_GAME_001_SUMMARY,풀다이브 기기 출시 소문에 게임·미디어주가 들썩이고 있습니다.,Gaming and media stocks stir on full-dive device launch rumors.,全潜入设备上市传闻令游戏与媒体股躁动。
NEWS_GAME_002A_TITLE,풀다이브 VR 출시 첫 주 판매 신기록,Full-dive VR sets sales record in launch week,全潜入VR首周销售刷新纪录
NEWS_GAME_002A_SUMMARY,출시 첫 주 판매 신기록을 세우며 게임 플랫폼 생태계 전반이 급성장하고 있습니다.,The whole gaming platform ecosystem booms after record-breaking launch sales.,首周销售刷新纪录，游戏平台生态全面高速增长。
NEWS_GAME_002B_TITLE,출시 직후 대규모 서버 마비·환불 사태,Massive server outage and refund wave right after launch,上市伊始爆发大规模服务器瘫痪与退款潮
NEWS_GAME_002B_SUMMARY,서버 마비와 환불 요구가 이어지며 게임·미디어주 투자 심리가 얼어붙었습니다.,Gaming and media stock sentiment freezes amid outages and refund demands.,服务器瘫痪与退款诉求不断，游戏与媒体股情绪冻结。
NEWS_GAME_003A_TITLE,콘텐츠 라인업 확장 — 게임주 상승세 유지,Content lineup expands; gaming stocks hold gains,内容阵容扩充，游戏股维持涨势
NEWS_GAME_003A_SUMMARY,후속 콘텐츠가 이어지며 게임주가 안정적인 상승 흐름을 유지하고 있습니다.,Gaming stocks hold a steady uptrend as follow-up content rolls out.,后续内容接连上线，游戏股保持稳定上行。
NEWS_GAME_003B_TITLE,보상 패치 배포 — 게임주 낙폭 진정,Compensation patch ships; gaming stock slide eases,补偿补丁发布，游戏股跌幅趋缓
NEWS_GAME_003B_SUMMARY,보상안이 발표되며 이용자 신뢰가 서서히 회복되고 있습니다.,User trust slowly recovers after compensation plans are announced.,补偿方案公布，用户信任逐步恢复。
NEWS_BANK_001_TITLE,대형 소비재 기업 실적 부풀리기 의혹,Major consumer brand suspected of inflating results,大型消费品企业业绩虚增疑云
NEWS_BANK_001_SUMMARY,매출·재고 부풀리기 루머가 돌며 소비재주 전반에 불안감이 번지고 있습니다.,Anxiety spreads across consumer stocks on sales and inventory inflation rumors.,销售与库存虚增传闻流传，消费品股整体弥漫不安。
NEWS_BANK_002A_TITLE,실적 조작 공식 확인 — 대규모 리콜·환불 사태,Results manipulation confirmed; mass recall and refunds,业绩造假获官方确认，爆发大规模召回与退款
NEWS_BANK_002A_SUMMARY,회계 부실이 사실로 드러나며 소비재주가 큰 충격을 받았습니다.,Consumer stocks take a heavy hit as the accounting fraud is confirmed.,会计造假被证实，消费品股遭受重创。
NEWS_BANK_002B_TITLE,전 소비재 기업 회계 감리 통과 공식 발표,All consumer firms officially pass accounting audit,全部消费品企业通过会计审计官方公布
NEWS_BANK_002B_SUMMARY,건전성 우려가 해소되며 소비재주에 안도 랠리가 펼쳐지고 있습니다.,A relief rally unfolds in consumer stocks as soundness fears clear.,稳健性担忧消除，消费品股上演安心反弹。
NEWS_BANK_003A_TITLE,소비재 업계 구조조정 마무리 — 신뢰 회복 국면,Consumer industry restructuring wraps up; trust recovers,消费品行业重组收尾，信任恢复阶段
NEWS_BANK_003A_SUMMARY,구조조정이 마무리 단계에 접어들며 소비 시장이 안정을 되찾고 있습니다.,Consumer markets regain stability as restructuring enters its final stage.,重组进入收尾阶段，消费市场恢复稳定。
NEWS_BANK_003B_TITLE,소비재 시장 평온 회복,Consumer markets return to calm,消费品市场恢复平静
NEWS_BANK_003B_SUMMARY,불안 요인이 해소된 소비재주가 정상 궤도로 복귀했습니다.,Consumer stocks return to normal as anxiety factors clear.,不安因素消除，消费品股重回正轨。
NEWS_STRIKE_001_TITLE,전국 항만 노조 총파업 예고,Nationwide port unions announce general strike plan,全国港口工会预告总罢工
NEWS_STRIKE_001_SUMMARY,항만 노조의 총파업 예고에 물류 대란 우려가 커지고 있습니다.,Fears of logistics chaos grow as port unions signal a general strike.,港口工会预告总罢工，物流混乱担忧加剧。
NEWS_STRIKE_002A_TITLE,총파업 돌입 — 전국 물류망 마비,General strike begins; nationwide logistics paralyzed,总罢工开始，全国物流网瘫痪
NEWS_STRIKE_002A_SUMMARY,물류망이 마비되며 운송·유통 업계 전반이 직격탄을 맞고 있습니다.,Transport and distribution sectors take a direct hit as logistics networks stall.,物流网瘫痪，运输与流通行业遭受正面打击。
NEWS_STRIKE_002B_TITLE,노사 막판 협상 극적 타결,Last-minute labor deal dramatically reached,劳资最后关头戏剧性达成协议
NEWS_STRIKE_002B_SUMMARY,파업이 철회되며 물류주가 안도 속에 반등하고 있습니다.,Logistics stocks rebound in relief as the strike is called off.,罢工撤回，物流股在安心情绪中反弹。
NEWS_STRIKE_003A_TITLE,물류 정상화 단계적 진행,Logistics normalization proceeds in stages,物流分阶段恢复正常
NEWS_STRIKE_003A_SUMMARY,적체됐던 물동량이 풀리며 물류 업계가 회복 국면에 들어섰습니다.,The logistics sector enters recovery as backlogged cargo clears.,积压货量疏解，物流行业进入恢复阶段。
NEWS_STRIKE_003B_TITLE,물류 업계 안정세 복귀,Logistics sector returns to stability,物流行业回归稳定
NEWS_STRIKE_003B_SUMMARY,파업 이슈가 마무리되며 물류주가 평소 흐름을 되찾았습니다.,Logistics stocks resume their usual course as the strike issue closes.,罢工议题落幕，物流股恢复常态。
NEWS_INDIE_FOOD_001_TITLE,"보건당국, 인공 배양육 가공식품 유통 공식 허가 승인",Health authorities officially approve alternative meat processed food sales,卫生当局正式批准人工培养肉加工食品流通许可
NEWS_INDIE_FOOD_001_SUMMARY,대체 식량 시장의 빗장이 풀리며 고부가가치 가공식품 개발사들의 실적 개선이 기대되고 있습니다.,"The barriers to the alternative food market have opened, raising expectation for developers.",替代食品市场壁垒解除，高附加值加工食品开发商的业绩改善令人期待。
NEWS_INDIE_GAME_001_TITLE,차세대 다중 접속 메타버스 VR 게임 출시 첫날 백만 장 공식 돌파,Next-gen VR metaverse game sales officially surpass 1M copies on day one,下一代多人联机元宇宙VR游戏首发第一天官方突破百万张
NEWS_INDIE_GAME_001_SUMMARY,글로벌 다운로드 순위 1위를 차지하며 가상현실 플랫폼 시장이 폭발적인 성장을 입증했습니다.,"Ranking first in global downloads, the virtual reality platform has proven explosive growth.",斩获全球下载排行第一，虚拟现实平台市场证明了其爆发式增长。
NEWS_INDIE_FINANCE_001_TITLE,"정부, 대규모 내수 진작 대책 공식 발표",Government officially unveils major consumption stimulus,政府正式公布大规模内需刺激对策
NEWS_INDIE_FINANCE_001_SUMMARY,내수 진작을 위한 소비 지원책 소식에 소비재 전반의 매출 증가가 기대됩니다.,Consumer spending support is expected to lift sales across consumer stocks.,提振内需的消费支持政策，预示消费品整体销售增长。
NEWS_INDIE_FINANCE_002_TITLE,"공정위, 대형 유통·소비재 기업 불공정 거래 전수조사 개시",Antitrust regulator opens sweeping unfair-trade probe into retailers,公平交易委员会启动对大型零售与消费品企业的不公平交易普查
