id,nameKey,descKey,tags,basePrice,volatility,reliability,reputation,marketCap,listingOrder,tier
comp_goldbridge,STOCK_COMP_GOLDBRIDGE,STOCK_COMP_GOLDBRIDGE_DESC,finance,31500,0.15,0.92,0.85,A,20,3
comp_helios,STOCK_COMP_HELIOS,STOCK_COMP_HELIOS_DESC,energy,34000,0.35,0.55,0.70,A,21,3
comp_genobio,STOCK_COMP_GENOBIO,STOCK_COMP_GENOBIO_DESC,vaccine|bio,37500,0.42,0.50,0.60,A,22,3
comp_quantumcore,STOCK_COMP_QUANTUMCORE,STOCK_COMP_QUANTUMCORE_DESC,semiconductor,42500,0.44,0.50,0.65,S,23,3
comp_deepai,STOCK_COMP_DEEPAI,STOCK_COMP_DEEPAI_DESC,software,74500,0.45,0.50,0.70,S,24,4
comp_coredrill,STOCK_COMP_COREDRILL,STOCK_COMP_COREDRILL_DESC,mining,99500,0.38,0.60,0.70,S,25,4
comp_gaia,STOCK_COMP_GAIA,STOCK_COMP_GAIA_DESC,renewable,119000,0.30,0.75,0.85,S,26,4
comp_orbitalx,STOCK_COMP_ORBITALX,STOCK_COMP_ORBITALX_DESC,hardware,145000,0.45,0.50,0.80,S,27,4
comp_hypernet,STOCK_COMP_HYPERNET,STOCK_COMP_HYPERNET_DESC,software,172000,0.35,0.70,0.90,S,28,4
comp_eterna,STOCK_COMP_ETERNA,STOCK_COMP_ETERNA_DESC,pharma,199000,0.40,0.55,0.75,S,29,4
comp_atlas,STOCK_COMP_ATLAS,STOCK_COMP_ATLAS_DESC,finance,230000,0.20,0.95,0.95,S,30,4
comp_leesung,STOCK_COMP_LEESUNG,STOCK_COMP_LEESUNG_DESC,semiconductor|hardware,4000,0.20,0.88,0.88,S,31,1
comp_greenharvest,STOCK_COMP_GREENHARVEST,STOCK_COMP_GREENHARVEST_DESC,agriculture,400,0.28,0.60,0.55,C,32,1
comp_seedcore,STOCK_COMP_SEEDCORE,STOCK_COMP_SEEDCORE_DESC,agriculture|bio,900,0.30,0.62,0.58,C,33,1
comp_bluewave,STOCK_COMP_BLUEWAVE,STOCK_COMP_BLUEWAVE_DESC,food,2600,0.26,0.58,0.50,C,34,2
comp_novachem,STOCK_COMP_NOVACHEM,STOCK_COMP_NOVACHEM_DESC,chemical,3400,0.24,0.70,0.60,B,35,2
comp_polybond,STOCK_COMP_POLYBOND,STOCK_COMP_POLYBOND_DESC,chemical,4400,0.22,0.72,0.62,B,36,2
comp_terrachem,STOCK_COMP_TERRACHEM,STOCK_COMP_TERRACHEM_DESC,chemical|agriculture,1200,0.28,0.60,0.50,C,37,1
comp_swiftmotors,STOCK_COMP_SWIFTMOTORS,STOCK_COMP_SWIFTMOTORS_DESC,transport,5900,0.26,0.68,0.65,B,38,2
comp_voltride,STOCK_COMP_VOLTRIDE,STOCK_COMP_VOLTRIDE_DESC,transport|battery,26500,0.38,0.55,0.72,A,39,3
comp_ironwheel,STOCK_COMP_IRONWHEEL,STOCK_COMP_IRONWHEEL_DESC,transport,4900,0.20,0.74,0.60,B,40,2
comp_skytel,STOCK_COMP_SKYTEL,STOCK_COMP_SKYTEL_DESC,telecom,8000,0.16,0.85,0.78,A,41,2
comp_wavecomm,STOCK_COMP_WAVECOMM,STOCK_COMP_WAVECOMM_DESC,telecom,5200,0.24,0.70,0.62,B,42,2
comp_orbitlink,STOCK_COMP_ORBITLINK,STOCK_COMP_ORBITLINK_DESC,telecom,35500,0.40,0.55,0.75,A,43,3
comp_buildpro,STOCK_COMP_BUILDPRO,STOCK_COMP_BUILDPRO_DESC,construction,1800,0.22,0.68,0.55,B,44,1
comp_skytower,STOCK_COMP_SKYTOWER,STOCK_COMP_SKYTOWER_DESC,construction,7400,0.24,0.70,0.68,A,45,2
comp_urbanest,STOCK_COMP_URBANEST,STOCK_COMP_URBANEST_DESC,construction,22500,0.28,0.60,0.62,A,46,3
comp_robomate,STOCK_COMP_ROBOMATE,STOCK_COMP_ROBOMATE_DESC,hardware,6400,0.34,0.58,0.68,B,47,2
comp_mechonix,STOCK_COMP_MECHONIX,STOCK_COMP_MECHONIX_DESC,hardware,18500,0.28,0.72,0.70,A,48,3
comp_autolimb,STOCK_COMP_AUTOLIMB,STOCK_COMP_AUTOLIMB_DESC,bio|hardware,5800,0.36,0.55,0.60,B,49,2
comp_wanderlux,STOCK_COMP_WANDERLUX,STOCK_COMP_WANDERLUX_DESC,tourism,1400,0.30,0.58,0.60,C,50,1
comp_bluelagoon,STOCK_COMP_BLUELAGOON,STOCK_COMP_BLUELAGOON_DESC,tourism,4600,0.28,0.62,0.65,B,51,2
comp_skycruise,STOCK_COMP_SKYCRUISE,STOCK_COMP_SKYCRUISE_DESC,tourism|transport,5600,0.32,0.55,0.58,B,52,2
comp_medicare,STOCK_COMP_MEDICARE,STOCK_COMP_MEDICARE_DESC,bio,6900,0.18,0.82,0.75,A,53,2
comp_vitalink,STOCK_COMP_VITALINK,STOCK_COMP_VITALINK_DESC,bio,20000,0.26,0.72,0.70,A,54,3
comp_carehub,STOCK_COMP_CAREHUB,STOCK_COMP_CAREHUB_DESC,bio|software,6200,0.38,0.52,0.66,B,55,2
comp_shieldsec,STOCK_COMP_SHIELDSEC,STOCK_COMP_SHIELDSEC_DESC,software,7200,0.30,0.70,0.72,A,56,2
comp_cryptoguard,STOCK_COMP_CRYPTOGUARD,STOCK_COMP_CRYPTOGUARD_DESC,software,6100,0.34,0.60,0.65,B,57,2
comp_firewallx,STOCK_COMP_FIREWALLX,STOCK_COMP_FIREWALLX_DESC,software,21500,0.32,0.65,0.75,A,58,3
comp_shopwave,STOCK_COMP_SHOPWAVE,STOCK_COMP_SHOPWAVE_DESC,ecommerce,7600,0.30,0.65,0.72,A,59,2
comp_quickcart,STOCK_COMP_QUICKCART,STOCK_COMP_QUICKCART_DESC,ecommerce|logistics,2000,0.34,0.55,0.60,B,60,1
comp_globamart,STOCK_COMP_GLOBAMART,STOCK_COMP_GLOBAMART_DESC,ecommerce,92000,0.28,0.75,0.85,S,61,4
comp_cozycafe,STOCK_COMP_COZYCAFE,STOCK_COMP_COZYCAFE_DESC,food|retail,900,0.24,0.65,0.60,C,62,1
comp_snackjoy,STOCK_COMP_SNACKJOY,STOCK_COMP_SNACKJOY_DESC,food|consumer,1200,0.22,0.68,0.62,C,63,1
comp_purebrew,STOCK_COMP_PUREBREW,STOCK_COMP_PUREBREW_DESC,food|consumer,5200,0.20,0.72,0.66,B,64,2
comp_homestyle,STOCK_COMP_HOMESTYLE,STOCK_COMP_HOMESTYLE_DESC,retail|consumer,1800,0.22,0.66,0.60,B,65,1
comp_petpal,STOCK_COMP_PETPAL,STOCK_COMP_PETPAL_DESC,retail|consumer,3700,0.28,0.60,0.64,C,66,2
comp_safeguard,STOCK_COMP_SAFEGUARD,STOCK_COMP_SAFEGUARD_DESC,finance,24500,0.16,0.88,0.80,A,67,3
comp_paywave,STOCK_COMP_PAYWAVE,STOCK_COMP_PAYWAVE_DESC,finance|software,7200,0.32,0.60,0.70,A,68,2
comp_lendhub,STOCK_COMP_LENDHUB,STOCK_COMP_LENDHUB_DESC,finance,4900,0.36,0.52,0.58,B,69,2
comp_capitalstone,STOCK_COMP_CAPITALSTONE,STOCK_COMP_CAPITALSTONE_DESC,finance,122000,0.24,0.82,0.88,S,70,4
comp_windforce,STOCK_COMP_WINDFORCE,STOCK_COMP_WINDFORCE_DESC,renewable,6600,0.30,0.62,0.70,B,71,2
comp_hydrocore,STOCK_COMP_HYDROCORE,STOCK_COMP_HYDROCORE_DESC,renewable,28500,0.40,0.52,0.72,A,72,3
comp_gridpower,STOCK_COMP_GRIDPOWER,STOCK_COMP_GRIDPOWER_DESC,energy,8800,0.14,0.88,0.75,A,73,2
comp_deepcoregeo,STOCK_COMP_DEEPCOREGEO,STOCK_COMP_DEEPCOREGEO_DESC,renewable|mining,19500,0.34,0.55,0.65,B,74,3
comp_cloudnine,STOCK_COMP_CLOUDNINE,STOCK_COMP_CLOUDNINE_DESC,software,32500,0.30,0.70,0.80,A,75,3
comp_codeforge,STOCK_COMP_CODEFORGE,STOCK_COMP_CODEFORGE_DESC,software,7400,0.34,0.58,0.68,B,76,2
comp_neurosynth,STOCK_COMP_NEUROSYNTH,STOCK_COMP_NEUROSYNTH_DESC,software,67000,0.48,0.45,0.70,S,77,4
comp_datapulse,STOCK_COMP_DATAPULSE,STOCK_COMP_DATAPULSE_DESC,software,18500,0.36,0.55,0.66,B,78,3
comp_micronix,STOCK_COMP_MICRONIX,STOCK_COMP_MICRONIX_DESC,semiconductor,27500,0.30,0.78,0.82,A,79,3
comp_photonchip,STOCK_COMP_PHOTONCHIP,STOCK_COMP_PHOTONCHIP_DESC,semiconductor,72500,0.42,0.50,0.68,S,80,4
comp_boardcraft,STOCK_COMP_BOARDCRAFT,STOCK_COMP_BOARDCRAFT_DESC,semiconductor|materials,4400,0.22,0.72,0.60,B,81,2
comp_rareearth,STOCK_COMP_RAREEARTH,STOCK_COMP_RAREEARTH_DESC,mining|materials,29500,0.40,0.55,0.68,A,82,3
comp_glassworks,STOCK_COMP_GLASSWORKS,STOCK_COMP_GLASSWORKS_DESC,materials,1600,0.20,0.74,0.58,B,83,1
comp_carbonforge,STOCK_COMP_CARBONFORGE,STOCK_COMP_CARBONFORGE_DESC,materials,26000,0.28,0.70,0.72,A,84,3
comp_vanguarddef,STOCK_COMP_VANGUARDDEF,STOCK_COMP_VANGUARDDEF_DESC,defense,27000,0.24,0.78,0.80,A,85,3
comp_skyfortress,STOCK_COMP_SKYFORTRESS,STOCK_COMP_SKYFORTRESS_DESC,defense,84000,0.30,0.68,0.82,S,86,4
comp_dronewing,STOCK_COMP_DRONEWING,STOCK_COMP_DRONEWING_DESC,defense|hardware,7100,0.38,0.52,0.68,B,87,2
comp_streamverse,STOCK_COMP_STREAMVERSE,STOCK_COMP_STREAMVERSE_DESC,software,23500,0.34,0.62,0.74,A,88,3
comp_playforge,STOCK_COMP_PLAYFORGE,STOCK_COMP_PLAYFORGE_DESC,software,20000,0.40,0.55,0.70,B,89,3
comp_toonlab,STOCK_COMP_TOONLAB,STOCK_COMP_TOONLAB_DESC,software,3600,0.36,0.52,0.62,C,90,2
comp_curalife,STOCK_COMP_CURALIFE,STOCK_COMP_CURALIFE_DESC,pharma,19500,0.34,0.58,0.64,B,91,3
comp_immunova,STOCK_COMP_IMMUNOVA,STOCK_COMP_IMMUNOVA_DESC,vaccine|pharma,63000,0.44,0.48,0.62,S,92,4
comp_swiftship,STOCK_COMP_SWIFTSHIP,STOCK_COMP_SWIFTSHIP_DESC,logistics,6200,0.20,0.72,0.66,B,93,2
comp_railcore,STOCK_COMP_RAILCORE,STOCK_COMP_RAILCORE_DESC,transport,7400,0.16,0.82,0.70,A,94,2
comp_portlink,STOCK_COMP_PORTLINK,STOCK_COMP_PORTLINK_DESC,logistics,18500,0.18,0.78,0.68,A,95,3
